sid,session_code,mk_session,prolific_id,participant_code,round_nb,role,player,dyad,manipulation,trial_payoff,responded,sent_amount,offer_response,rt,mean_social_dominance,mean_aggresive_dominance
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,1,proposer,1,p1p2,dominant,5,1,10,1,6177.9,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,2,responder,1,p1p3,submissive,10,1,10,1,6807.8,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,3,proposer,1,p1p4,dominant,5,1,10,1,2416.2,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,4,proposer,1,p1p5,submissive,5,1,10,1,3098.4,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,5,responder,1,p1p6,dominant,7,1,7,1,4740.1,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,6,responder,1,p1p2,dominant,10.0,1,10,1.0,4349.9,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,7,proposer,1,p1p3,dominant,5,1,10,1,3941.8,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,8,responder,1,p1p4,submissive,10,1,10,1,2978.0,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,9,responder,1,p1p5,submissive,8,1,8,1,2372.5,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,10,proposer,1,p1p6,submissive,5,1,10,1,2247.6,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,11,proposer,1,p1p2,submissive,5,1,10,1,2450.4,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,12,responder,1,p1p3,dominant,7,1,7,1,2659.6,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,13,proposer,1,p1p4,submissive,5,1,10,1,2205.8,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,14,proposer,1,p1p5,dominant,5,1,10,1,6710.8,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,15,responder,1,p1p6,submissive,10,1,10,1,5595.0,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,16,responder,1,p1p2,submissive,10,1,10,1,2217.8,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,17,proposer,1,p1p3,submissive,5,1,10,1,2837.9,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,18,responder,1,p1p4,dominant,10,1,10,1,10745.5,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,19,responder,1,p1p5,dominant,10,1,10,1,4294.4,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,20,proposer,1,p1p6,dominant,5,1,10,1,4826.1,5.5,4.714285714285714
