sid,session_code,mk_session,prolific_id,participant_code,round_nb,role,player,dyad,manipulation,trial_payoff,responded,sent_amount,offer_response,rt,mean_social_dominance,mean_aggresive_dominance,gold,milestone
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,1,proposer,1,p1p2,dominant,8,1,7,1,7343.3,5.5,1.8571428571428572,0,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,2,responder,1,p1p3,submissive,7,1,7,1,6597.9,5.5,1.8571428571428572,0,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,3,proposer,1,p1p4,dominant,8,1,7,1,5736.2,5.5,1.8571428571428572,10,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,4,proposer,1,p1p5,submissive,8,1,7,1,3157.4,5.5,1.8571428571428572,10,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,5,responder,1,p1p6,dominant,10.0,1,10,1.0,4086.2,5.5,1.8571428571428572,2,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,6,responder,1,p1p2,dominant,7,1,7,1,4964.8,5.5,1.8571428571428572,9,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,7,proposer,1,p1p3,dominant,8.0,1,7,1.0,2694.0,5.5,1.8571428571428572,1,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,8,responder,1,p1p4,submissive,8.0,1,,,,5.5,1.8571428571428572,9,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,9,responder,1,p1p5,submissive,6.0,1,6.0,1.0,4474.8,5.5,1.8571428571428572,2,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,10,proposer,1,p1p6,submissive,9.0,1,6.0,1.0,3078.5,5.5,1.8571428571428572,2,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,11,proposer,1,p1p2,submissive,8.0,1,7.0,1.0,2804.3,5.5,1.8571428571428572,0,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,12,responder,1,p1p3,dominant,8.0,1,,,,5.5,1.8571428571428572,0,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,13,proposer,1,p1p4,submissive,10.0,1,5,1.0,4116.7,5.5,1.8571428571428572,10,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,14,proposer,1,p1p5,dominant,8.0,1,7.0,1.0,9999.5,5.5,1.8571428571428572,10,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,15,responder,1,p1p6,submissive,,0,7,,14318.4,5.5,1.8571428571428572,18,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,16,responder,1,p1p2,submissive,6.0,1,6.0,1.0,4279.2,5.5,1.8571428571428572,24,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,17,proposer,1,p1p3,submissive,8.0,1,5,,25156.5,5.5,1.8571428571428572,24,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,18,responder,1,p1p4,dominant,5.0,1,5.0,1.0,5855.7,5.5,1.8571428571428572,24,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,19,responder,1,p1p5,dominant,6.0,1,6,1.0,5781.9,5.5,1.8571428571428572,24,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,5e1b2b3e4a955b350b1e0a63,3qhxhhau,20,proposer,1,p1p6,dominant,8.0,1,7.0,1.0,5037.5,5.5,1.8571428571428572,24,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,1,responder,2,p1p2,submissive,7,1,7,1,7947.7,3.125,3.5714285714285716,7,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,2,proposer,2,p2p5,dominant,7,1,8,1,5495.6,3.125,3.5714285714285716,14,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,3,proposer,2,p2p6,dominant,6,1,9,1,4486.4,3.125,3.5714285714285716,2,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,4,responder,2,p2p4,submissive,15,1,15,1,8685.3,3.125,3.5714285714285716,10,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,5,proposer,2,p2p3,dominant,8.0,1,7,1.0,10423.7,3.125,3.5714285714285716,2,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,6,proposer,2,p1p2,submissive,8,1,7,1,9051.2,3.125,3.5714285714285716,18,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,7,responder,2,p2p5,dominant,6.0,1,6,1.0,4333.8,3.125,3.5714285714285716,18,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,8,responder,2,p2p6,submissive,6.0,1,6.0,1.0,5255.3,3.125,3.5714285714285716,0,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,9,proposer,2,p2p4,dominant,,0,,,33324.7,3.125,3.5714285714285716,8,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,10,responder,2,p2p3,submissive,8.0,1,,,,3.125,3.5714285714285716,1,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,11,responder,2,p1p2,dominant,7.0,1,7.0,1.0,6342.4,3.125,3.5714285714285716,1,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,12,proposer,2,p2p5,submissive,7.0,1,8.0,1.0,7571.3,3.125,3.5714285714285716,1,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,13,proposer,2,p2p6,submissive,8.0,1,7,1.0,5736.9,3.125,3.5714285714285716,1,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,14,responder,2,p2p4,dominant,7.0,1,7.0,1.0,7929.6,3.125,3.5714285714285716,1,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,15,proposer,2,p2p3,submissive,8.0,1,7,,5995.1,3.125,3.5714285714285716,3,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,16,proposer,2,p1p2,dominant,9.0,1,6.0,1.0,4481.7,3.125,3.5714285714285716,12,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,17,responder,2,p2p5,submissive,5.0,1,5,1.0,7491.0,3.125,3.5714285714285716,12,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,18,responder,2,p2p6,submissive,8.0,1,8.0,1.0,7321.7,3.125,3.5714285714285716,12,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,19,proposer,2,p2p4,submissive,8.0,1,7,1.0,5825.4,3.125,3.5714285714285716,12,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,632c78dac01ee4ebd60f742c,6u0l3d21,20,responder,2,p2p3,dominant,8.0,1,,,,3.125,3.5714285714285716,12,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,,gdwkg386,1,proposer,3,p3p4,submissive,5,1,10,1,18353.2,,,5,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,,gdwkg386,2,proposer,3,p1p3,dominant,8,1,7,1,3572.0,,,5,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,,gdwkg386,3,responder,3,p3p5,dominant,6,1,6,1,8466.4,,,5,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,,gdwkg386,4,proposer,3,p3p6,submissive,9,1,6,1,3500.1,,,1,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,,gdwkg386,5,responder,3,p2p3,submissive,7.0,1,7,1.0,6129.0,,,13,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,,gdwkg386,6,responder,3,p3p4,dominant,0,1,5,0,5877.9,,,13,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,,gdwkg386,7,responder,3,p1p3,submissive,7.0,1,7,1.0,3712.1,,,0,
ultimatum_game,twnt5r4j,mk:Ultimatum_Game_Real:6,,gdwkg386,8,proposer,3,p3p5,dominant,,0,,,32570.2,,,8,
