sid,session_code,mk_session,prolific_id,participant_code,player,mean_social_dominance,mean_aggresive_dominance,sound_quality,sound_comment,fidelity,fidelity_comment,xp_goal,enough_time,manipulation,detection_degree,manipulation_comment,unique_interactions
ultimatum_game,i5pyilec,mk:Ultimatum_Game_Real:1,5f0f7fe1d7ad1c000b42d091,1sz03i1t,1,5.125,1.4285714285714286,5,Bit of crackling,4,Delay and waiting,How people treat each other to gain an advantage,7,0.0,50,,6
ultimatum_game,i5pyilec,mk:Ultimatum_Game_Real:1,607c5af095d4f618fc21a1d1,yym5cvhb,2,3.625,3.4285714285714284,4,none really,4,none,to see if people were prepared to stiff each other in order to win,5,0.0,50,,16
ultimatum_game,i5pyilec,mk:Ultimatum_Game_Real:1,62d6d87d91cf24a3c1c0f10c,77od11ub,3,4.75,3.0,3,"Big differences in volume, lag and massive distortion on one",3,The distortion and lag,To find out how barriers in communication affect negotiation ,7,1.0,69,Some didn't seem natural,7
ultimatum_game,i5pyilec,mk:Ultimatum_Game_Real:1,I am the experimenter. ,enjhdbed,4,3.75,1.8571428571428568,5,Some people had very noisy background environments. ,3,I dont know,Dont know,6,1.0,68,I dont know,2
ultimatum_game,i5pyilec,mk:Ultimatum_Game_Real:1,6384f755b4cc19e1153f51bb,j89thiah,5,4.75,3.142857142857143,4,"everything was very good, the sound and all",6,the effectiveness of the sound ,"i feel like the goal was to know how other people interact, negotiate and to see if others are smarter ",7,0.0,50,,7
ultimatum_game,i5pyilec,mk:Ultimatum_Game_Real:1,5ad0ba03fb109b0001a3148e,mut7p9qa,6,4.625,3.142857142857143,4,none,5,nothing,to see if people kept to their word,5,1.0,25,unsure,6
ultimatum_game,dzoz67y9,mk:Ultimatum_Game_Real:2,5feb9a64d42dc5c4926ffe03,56q1hf2h,1,5.5,3.0,4,Just a slight echo or felt far away.,3,Sounded a little echoy or quiet.,to understand remote negotiations.,5,1.0,15,I felt some of the tones felt ungenuine or spoke very little,8
ultimatum_game,dzoz67y9,mk:Ultimatum_Game_Real:2,5fe0b5ce0a5e7fa320d39a3a,evnqr10d,2,3.75,2.2857142857142856,4,None really. It was clear enough.,4,I think the outside factors such as other peoples headphones/mics and so on would play a role,Not sure tbh,7,0.0,0,,8
ultimatum_game,dzoz67y9,mk:Ultimatum_Game_Real:2,5fdcd228539a382bc5e9fae5,zbitv4s4,3,5.125,2.2857142857142856,6,I did not hear any kind of flaw during the interaction.,4,I really don't think anything was impacted as the the audio communication was clear.  ,understanding negotiation with strangers.,7,0.0,0,,10
ultimatum_game,dzoz67y9,mk:Ultimatum_Game_Real:2,6525684f0a285b2386b10497,ia1a0oyi,4,6.75,2.4285714285714284,7,none,7,none,to see if you can influence someone to agree with the way the points should be split,7,0.0,0,,4
ultimatum_game,dzoz67y9,mk:Ultimatum_Game_Real:2,65e845d36f06957a658f1c54,la16nzmd,5,4.875,3.857142857142857,4,There were no flaws.,4,I had no such issue,I think the goal is to see how agreeable/disagreeable people can be.,7,0.0,0,,4
ultimatum_game,dzoz67y9,mk:Ultimatum_Game_Real:2,62fa76a8d6bb71d857185b66,15wh1qxv,6,5.25,2.142857142857143,3,There were a few times nobody spoke during the time allowed and I didn't hear a connection. Also a couple of times when the connection was made after the other person had started speaking although that could have been operator error.,4,A couple of times the other person and I recognised that we had spoken before on this study,Art of negotiation,6,1.0,15,Im not sure,12
ultimatum_game,mklqs5l0,mk:Ultimatum_Game_Real:3,5f1c29f047a90a049690ef7e,r615kdio,1,4.0,3.2857142857142856,4,"The only issue that I had with some people was the volume of their microphone appeared to be quite low, making it hard to hear them properly",4,the ones with the lower volume I did tend to just talk over them and it was more of a one way conversation,To see if people are fairer and more honest when they have a verbal interaction rather than just online,7,0.0,0,,6
ultimatum_game,mklqs5l0,mk:Ultimatum_Game_Real:3,59f8868e05d1d60001f1464d,4kt189x1,2,3.0,2.4285714285714284,6,,4,,To see if people would be selfish to try and get the bonus,7,0.0,0,,6
ultimatum_game,mklqs5l0,mk:Ultimatum_Game_Real:3,5dfb7cbd01423f8a774d893b,kzzq77pl,3,6.125,2.0,4,none,4,none,social interacting,5,0.0,0,,10
ultimatum_game,mklqs5l0,mk:Ultimatum_Game_Real:3,,97ajc1w1,4,0.0,0.0,0,,0,,,0,,0,,0
ultimatum_game,mklqs5l0,mk:Ultimatum_Game_Real:3,5d1a69d8f97a18001977e0d7,2kti5bsb,5,5.625,2.4285714285714284,3,"Sometimes people were muffled, I had to say to a couple of peope that I couldn't hear them very well.",4,"The times when I couldn't hear the other party made it harder, less time, and less sure what they were saying.",The goal was to talk and negociate.  To decide who deserved to get the most coins and the bonus.,7,0.0,0,,20
ultimatum_game,mklqs5l0,mk:Ultimatum_Game_Real:3,6039a06979e3544a49aa3912,u17le5xr,6,5.5,2.857142857142857,4,Background connection issue noises,4,nothing in particualar,Social experiment when someone needs to make a bold decision,4,0.0,0,,6
