sid,session_code,mk_session,prolific_id,participant_code,round_nb,player,dyad,manipulation,condition,difficulty,confidence_1,confidence_2,indv_response,correct_response,indv_responded_correctly,rt_individual,indv_stim_order,group_choice,grp_responded_correctly,decision_count,group_rt,both_agree,mean_social_dominance,mean_aggresive_dominance,confidence_levels,player_nb,other_manipulation,changed_answer,group_follows_individual,conf_change,speech_onset,onset_diff,spoke_first,abs_dyad_conf_diff1,abs_dyad_conf_diff2,conf_diff_1,higher_conf,abs_conf_diff_levels,other_higher_conf
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,1,1e9xef3dy,p1p2,dominant,Conflict,Easy,88,60,Left,Left,True,4252.2,27:20,Left,,1,28878.6,1,4.0,3.142857142857143,4,p1,submissive,False,True,-28,2575.0625,633.4791666666667,False,72.0,0.0,72.0,True,4,False
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,2,1e9xef3dy,p1p3,dominant,Non-conflict,Easy,85,85,Right,Right,True,1788.8,30:40,Right,True,1,20949.1,1,4.0,3.142857142857143,4,p1,submissive,False,True,0,4716.583333333333,3983.354166666666,False,4.0,7.0,4.0,True,1,False
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,3,1e9xef3dy,p1p4,submissive,Non-conflict,Hard,34,45,Left,Left,True,1600.0,23:20,Left,True,1,16327.6,1,4.0,3.142857142857143,2,p1,dominant,False,True,11,1158.4375,632.875,True,26.0,29.0,-26.0,False,3,True
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,4,1e9xef3dy,p1p5,submissive,Conflict,Easy,0,25,Left,Right,False,11698.8,20:27,Left,,1,16037.8,1,4.0,3.142857142857143,1,p1,dominant,False,True,25,2137.416666666667,1766.666666666667,False,75.0,49.0,-75.0,False,4,True
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,5,1e9xef3dy,p1p6,submissive,Non-conflict,Easy,39,35,Left,Left,True,2460.6,40:30,Left,True,1,8452.3,1,4.0,3.142857142857143,2,p1,dominant,False,True,-4,1291.625,1270.7083333333333,False,47.0,58.0,-47.0,False,4,True
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,6,1e9xef3dy,p1p2,dominant,Non-conflict,Hard,28,50,Left,Left,True,1628.9,23:20,Left,True,1,6787.6,1,4.0,3.142857142857143,2,p1,submissive,False,True,22,999.9791666666666,4149.9375,True,31.0,30.0,-31.0,False,4,True
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,7,1e9xef3dy,p1p3,dominant,Conflict,Easy,5,15,Right,Left,False,6299.6,40:30,Right,,1,8050.7,1,4.0,3.142857142857143,1,p1,submissive,False,True,10,1633.2083333333337,374.9583333333337,False,59.0,53.0,-59.0,False,4,True
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,8,1e9xef3dy,p1p4,dominant,Non-conflict,Easy,13,10,Left,Left,True,3305.5,27:20,Left,True,1,13826.1,1,4.0,3.142857142857143,1,p1,submissive,False,True,-3,133.29166666666666,687.5625,True,63.0,75.0,-63.0,False,4,True
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,9,1e9xef3dy,p1p5,submissive,Non-conflict,Hard,64,24,Left,Left,True,3167.2,23:20,Left,True,1,22035.0,1,4.0,3.142857142857143,3,p1,dominant,False,True,-40,1299.9791666666667,324.93749999999955,True,10.0,11.0,10.0,True,1,False
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,10,1e9xef3dy,p1p6,submissive,Conflict,Easy,23,60,Left,Left,True,5911.0,40:30,Right,,1,2054.7,1,4.0,3.142857142857143,1,p1,dominant,True,False,37,1816.5625,866.5625,False,43.0,24.0,-43.0,False,4,True
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,11,1e9xef3dy,p1p2,submissive,Non-conflict,Easy,64,75,Right,Right,True,1781.9,20:27,Right,True,1,3572.4,1,4.0,3.142857142857143,3,p1,dominant,False,True,11,1170.7916666666667,183.2708333333336,False,14.0,19.0,-14.0,False,2,True
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,12,1e9xef3dy,p1p3,dominant,Non-conflict,Hard,3,31,Left,Right,False,3252.9,20:23,Left,False,1,7272.7,1,4.0,3.142857142857143,1,p1,submissive,False,True,28,1087.4791666666667,520.7916666666667,False,51.0,22.0,-51.0,False,4,True
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,13,1e9xef3dy,p1p4,dominant,Conflict,Easy,69,40,Left,Left,True,1618.7,40:30,Left,,1,10861.5,1,4.0,3.142857142857143,3,p1,submissive,False,True,-29,779.1875,1924.958333333333,True,17.0,16.0,17.0,True,2,False
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,14,1e9xef3dy,p1p5,dominant,Non-conflict,Easy,62,70,Right,Right,True,1758.2,30:40,Right,True,1,5888.2,1,4.0,3.142857142857143,3,p1,submissive,False,True,8,749.9375,566.6666666666663,True,14.0,9.0,-14.0,False,2,True
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,15,1e9xef3dy,p1p6,submissive,Non-conflict,Hard,14,35,Right,Right,True,1739.3,30:34,Right,True,1,4299.9,1,4.0,3.142857142857143,1,p1,dominant,False,True,21,453.9791666666666,812.6458333333335,True,45.0,23.0,-45.0,False,4,True
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,16,1e9xef3dy,p1p2,submissive,Conflict,Easy,68,40,Right,Right,True,2259.1,20:27,Right,,1,21038.5,1,4.0,3.142857142857143,3,p1,dominant,False,True,-28,349.8333333333333,3975.1041666666665,True,6.0,25.0,6.0,True,1,False
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,17,1e9xef3dy,p1p2,dominant,Conflict,Easy,26,60,Right,Right,True,1888.9,30:40,Left,,1,16454.8,1,4.0,3.142857142857143,2,p1,submissive,True,False,34,0.0,1183.3958333333337,True,47.0,13.0,-47.0,False,4,True
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,18,1e9xef3dy,p1p3,submissive,Non-conflict,Easy,81,95,Right,Right,True,1423.8,30:40,Right,True,1,1969.1,1,4.0,3.142857142857143,4,p1,dominant,False,True,14,662.3958333333333,1750.1458333333337,True,16.0,26.0,16.0,True,2,False
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,19,1e9xef3dy,p1p4,dominant,Non-conflict,Hard,70,90,Right,Right,True,1876.8,20:23,Right,True,1,3293.9,1,4.0,3.142857142857143,3,p1,submissive,False,True,20,229.10416666666663,3941.4583333333335,True,20.0,30.0,20.0,True,2,False
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,20,1e9xef3dy,p1p5,dominant,Conflict,Easy,23,3,Left,Left,True,2357.3,27:20,Right,,1,18018.4,1,4.0,3.142857142857143,1,p1,submissive,True,False,-20,1837.4166666666667,641.75,False,36.0,57.0,-36.0,False,4,True
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,21,1e9xef3dy,p1p6,dominant,Non-conflict,Easy,83,90,Right,Right,True,2011.7,20:27,Right,True,1,2307.7,1,4.0,3.142857142857143,4,p1,submissive,False,True,7,791.6458333333334,616.5416666666667,False,28.0,29.0,28.0,True,3,False
interactive_psychophysics,rix3vv3s,mk_3_rix3vv3s,665a1f5b7901b74f83188cf8,e9xef3dy,22,1e9xef3dy,p1p2,submissive,Non-conflict,Hard,31,40,Right,Right,True,2058.5,20:23,Right,True,1,7811.9,1,4.0,3.142857142857143,2,p1,dominant,False,True,9,479.1875,195.91666666666663,True,29.0,45.0,-29.0,False,3,True
