sid,session_code,mk_session,prolific_id,participant_code,round_nb,player,dyad,manipulation,condition,difficulty,confidence_1,confidence_2,indv_response,correct_response,indv_responded_correctly,rt_individual,indv_stim_order,group_choice,grp_responded_correctly,decision_count,group_rt,both_agree,mean_social_dominance,mean_aggresive_dominance,grp_correct
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,1,1,p1p3,submissive,Non-conflict,Easy,97.0,95,,Right,,10174.3,20:27,Right,,1,5187.4,1,5.0,2.4285714285714284,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,2,1,p1p5,dominant,Non-conflict,Easy,99.0,97.0,Left,Left,1.0,1505.3,40:30,Left,,2,13164.7,0,5.0,2.4285714285714284,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,3,1,p1p5,submissive,Non-conflict,Easy,99.0,98,Right,Right,True,1457.9,30:40,Right,,1,21067.0,1,5.0,2.4285714285714284,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,4,1,p1p4,submissive,Non-conflict,Easy,99.0,98,Right,Right,True,1645.8,30:40,Right,,1,988.1,1,5.0,2.4285714285714284,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,5,1,p1p2,submissive,Conflict,Easy,99.0,98.0,Left,Left,True,1459.6,40:30,Left,,1,6884.1,1,5.0,2.4285714285714284,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,6,1,p1p3,dominant,Non-conflict,Hard,45.0,50,Right,Right,True,1444.7,20:23,Right,,1,1084.7,1,5.0,2.4285714285714284,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,7,1,p1p3,submissive,Non-conflict,Hard,56.0,58,Left,Left,True,6228.7,34:30,Left,,1,3835.1,1,5.0,2.4285714285714284,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,8,1,p1p4,dominant,Non-conflict,Easy,75.0,98,Right,Right,True,1574.2,30:40,Right,,1,3246.0,1,5.0,2.4285714285714284,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,9,1,p1p3,dominant,Non-conflict,Easy,61.0,98,Right,Right,True,1685.6,30:40,Right,,1,2872.8,1,5.0,2.4285714285714284,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,10,1,p1p4,dominant,Non-conflict,Hard,78.0,68,,Left,,10135.6,23:20,Left,,1,2527.8,1,5.0,2.4285714285714284,True
