sid,session_code,mk_session,prolific_id,participant_code,round_nb,player,dyad,manipulation,condition,difficulty,confidence_1,confidence_2,indv_response,correct_response,indv_responded_correctly,rt_individual,indv_stim_order,group_choice,grp_responded_correctly,decision_count,group_rt,both_agree,mean_social_dominance,mean_aggresive_dominance
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,1,1,p1p2,submissive,Conflict,Easy,46,74,Left,Left,True,4029.8,40:30,undecided,,0,23268.4,0,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,2,1,p1p3,dominant,Conflict,Easy,55,75,Left,Left,True,3266.7,40:30,Left,,1,9598.8,1,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,3,1,p1p4,submissive,Non-conflict,Easy,55,55,Right,Right,True,3446.0,20:27,undecided,,0,23185.3,0,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,4,1,p1p5,dominant,Non-conflict,Easy,60,80,Left,Left,True,3555.9,27:20,Left,True,1,18057.7,1,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,5,1,p1p6,submissive,Non-conflict,Hard,51,51,Left,Left,True,2465.9,23:20,undecided,,0,22560.1,0,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,6,1,p1p2,dominant,Non-conflict,Hard,40,75,Left,Left,True,2764.5,23:20,Left,True,1,7007.1,1,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,7,1,p1p3,submissive,Conflict,Easy,60,80,Right,Right,True,2532.9,30:40,Right,,1,10679.5,1,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,8,1,p1p4,dominant,Conflict,Easy,55,55,Right,Right,True,2352.5,20:27,undecided,,0,24010.2,0,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,9,1,p1p5,submissive,Non-conflict,Easy,80,95,Left,Left,True,3942.2,27:20,Left,True,1,83.2,1,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,10,1,p1p6,dominant,Non-conflict,Easy,60,60,Left,Left,True,2477.1,40:30,undecided,,0,23466.6,0,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,11,1,p1p2,submissive,Non-conflict,Hard,45,45,Right,Right,True,2649.6,20:23,undecided,,0,23693.7,0,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,12,1,p1p3,dominant,Non-conflict,Hard,25,45,Right,Right,True,7944.4,30:34,Right,True,1,4867.4,1,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,13,1,p1p4,submissive,Conflict,Easy,45,45,Right,Right,True,2260.8,20:27,undecided,,0,23087.5,0,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,14,1,p1p5,dominant,Conflict,Easy,44,70,Right,Right,True,2357.1,20:27,Right,,1,1699.8,1,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,15,1,p1p6,submissive,Non-conflict,Easy,25,25,Right,Right,True,2217.7,30:40,undecided,,0,24067.3,0,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,16,1,p1p2,dominant,Non-conflict,Easy,10,10,Left,Left,True,2542.3,27:20,undecided,,0,23111.1,0,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,17,1,p1p3,submissive,Non-conflict,Hard,5,40,Left,Left,True,2562.3,34:30,Left,True,1,6974.0,1,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,18,1,p1p2,dominant,Conflict,Easy,5,5,Right,Right,True,6895.5,30:40,undecided,,0,23732.1,0,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,19,1,p1p4,dominant,Non-conflict,Hard,10,10,Right,Right,True,2444.6,30:34,undecided,,0,23470.2,0,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,20,1,p1p5,submissive,Conflict,Easy,75,50,Left,Left,True,2566.2,40:30,Right,,1,7839.0,1,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,21,1,p1p3,submissive,Conflict,Easy,15,40,Left,Left,True,2349.0,27:20,Right,,1,13492.8,1,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,22,1,p1p6,dominant,Conflict,Easy,60,60,Left,Left,True,3151.1,27:20,undecided,,0,24250.7,0,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,23,1,p1p2,submissive,Non-conflict,Easy,5,30,Left,Right,False,2573.5,30:40,Right,True,1,13160.5,1,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,24,1,p1p3,dominant,Non-conflict,Easy,30,60,Left,Left,True,2267.8,27:20,Left,True,1,11220.8,1,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,25,1,p1p4,dominant,Conflict,Easy,10,10,Left,Left,True,3290.8,27:20,undecided,,0,25529.5,0,5.25,1.5714285714285714
interactive_psychophysics,vzau32q8,mk:psyphysical_main:2,651d62463ac799b3c3b18da3,d8x1c958,26,1,p1p4,submissive,Non-conflict,Hard,5,5,Right,Right,True,3780.6,30:34,undecided,,0,23651.7,0,5.25,1.5714285714285714
