player_nb,round_nb,dyad,speech_onset
p1,1,,
p1,2,,
p1,3,p1p5,15354.0
p1,4,p1p4,3191.708333333333
p1,5,p1p2,7475.0625
p1,6,p1p3,3070.9583333333335
p1,7,,
p1,8,p1p4,
p1,9,p1p3,
p1,10,p1p4,
p1,11,p1p2,5533.375
p1,12,,
p1,13,p1p6,4112.520833333333
p1,14,p1p4,499.97916666666663
p1,15,p1p5,3391.6875
p1,16,,
p1,17,p1p2,7662.5
p1,18,p1p5,3329.083333333333
p1,19,p1p4,837.6875
p1,20,,
p1,21,p1p3,
p1,22,p1p2,
p1,23,p1p6,3983.2916666666665
p1,24,p1p6,262.4375
p1,25,p1p6,808.3958333333333
p1,26,p1p5,
p1,27,p1p6,1279.1875
p1,28,,
p1,29,p1p6,2820.9166666666665
p1,30,p1p5,2679.1666666666665
p2,1,p2p5,2500.25
p2,2,p2p4,1604.1666666666667
p2,3,p2p4,5595.916666666667
p2,4,p2p6,5724.979166666666
p2,5,p1p2,4833.270833333334
p2,6,p2p5,3658.4791666666665
p2,7,p2p5,3891.6458333333335
p2,8,p2p6,1996.0416666666667
p2,9,p2p5,4066.7291666666665
p2,10,p2p6,2441.6458333333335
p2,11,p1p2,2704.083333333333
p2,12,p2p6,3420.8125
p2,13,p2p3,2891.7083333333335
p2,14,p2p6,3183.25
p2,15,p2p4,
p2,16,,
p2,17,p1p2,3937.5
p2,18,p2p4,1975.0
p2,19,p2p6,7495.8125
p2,20,p2p5,4708.4375
p2,21,p2p5,3266.6458333333335
p2,22,p1p2,
p2,23,,
p2,24,,
p2,25,,
p2,26,,
p2,27,p2p3,
p2,28,,
p2,29,,
p2,30,p2p4,
p3,1,,
p3,2,p3p6,
p3,3,,
p3,4,p3p5,
p3,5,p3p4,87.45833333333333
p3,6,p1p3,295.7916666666667
p3,7,,
p3,8,p3p5,4.145833333333333
p3,9,p1p3,704.1875
p3,10,p3p5,41.708333333333336
p3,11,p3p4,4.1875
p3,12,,
p3,13,p2p3,1916.7291666666665
p3,14,p3p5,20.729166666666668
p3,15,p3p6,37.458333333333336
p3,16,p3p4,0.0
p3,17,p3p4,0.0
p3,18,p3p6,66.77083333333333
p3,19,p3p5,0.0
p3,20,,
p3,21,p1p3,0.0
p3,22,p3p4,4.333333333333333
p3,23,,
p3,24,,
p3,25,,
p3,26,p3p6,0.0
p3,27,p2p3,0.0
p3,28,,
p3,29,,
p3,30,p3p6,0.0
p4,1,p4p6,6216.833333333334
p4,2,p2p4,4129.166666666666
p4,3,p2p4,1791.4791666666667
p4,4,p1p4,2504.1041666666665
p4,5,p3p4,1991.7083333333335
p4,6,p4p6,2520.770833333333
p4,7,p4p6,
p4,8,p1p4,
p4,9,p4p6,1950.0625
p4,10,p1p4,
p4,11,p3p4,2662.6041666666665
p4,12,,
p4,13,p4p5,1995.875
p4,14,p1p4,304.1875
p4,15,p2p4,
p4,16,p3p4,537.4583333333334
p4,17,p3p4,2208.5625
p4,18,p2p4,4320.770833333333
p4,19,p1p4,2412.520833333333
p4,20,p4p6,2849.9791666666665
p4,21,p4p6,3591.6041666666665
p4,22,p3p4,2804.1666666666665
p4,23,p4p5,
p4,24,p4p5,11124.645833333334
p4,25,p4p5,4083.3125
p4,26,,
p4,27,p4p5,5941.479166666666
p4,28,,
p4,29,p4p5,2912.4791666666665
p4,30,p2p4,
p5,1,p2p5,3858.3541666666665
p5,2,,
p5,3,p1p5,800.1458333333334
p5,4,p3p5,341.41666666666663
p5,5,p5p6,666.75
p5,6,p2p5,708.3125
p5,7,p2p5,341.75
p5,8,p3p5,770.9583333333333
p5,9,p2p5,345.8125
p5,10,p3p5,1850.0
p5,11,p5p6,949.9791666666667
p5,12,,
p5,13,p4p5,533.3125
p5,14,p3p5,2245.833333333333
p5,15,p1p5,1024.9583333333335
p5,16,p5p6,758.3333333333333
p5,17,p5p6,650.2291666666666
p5,18,p1p5,1550.0416666666667
p5,19,p3p5,1312.5208333333333
p5,20,p2p5,954.1666666666667
p5,21,p2p5,1141.75
p5,22,p5p6,999.8333333333334
p5,23,p4p5,
p5,24,p4p5,1145.9166666666667
p5,25,p4p5,1337.3958333333333
p5,26,p1p5,
p5,27,p4p5,450.0625
p5,28,p5p6,737.5208333333333
p5,29,p4p5,66.66666666666667
p5,30,p1p5,587.4583333333333
p6,1,p4p6,4016.583333333333
p6,2,p3p6,3175.083333333333
p6,3,,
p6,4,p2p6,1070.6458333333333
p6,5,p5p6,3966.458333333333
p6,6,p4p6,708.3333333333334
p6,7,p4p6,1708.25
p6,8,p2p6,1279.1875
p6,9,p4p6,212.375
p6,10,p2p6,1153.9375
p6,11,p5p6,649.7083333333334
p6,12,p2p6,662.5208333333334
p6,13,p1p6,24.854166666666668
p6,14,p2p6,1325.0208333333333
p6,15,p3p6,2470.854166666667
p6,16,p5p6,1095.7291666666667
p6,17,p5p6,4304.166666666666
p6,18,p3p6,
p6,19,p2p6,103.97916666666666
p6,20,p4p6,1124.875
p6,21,p4p6,579.3125
p6,22,p5p6,3004.5625
p6,23,p1p6,4700.104166666667
p6,24,p1p6,4320.791666666667
p6,25,p1p6,2383.4583333333335
p6,26,p3p6,1970.8333333333335
p6,27,p1p6,2858.3125
p6,28,p5p6,3650.0
p6,29,p1p6,4475.0625
p6,30,p3p6,3579.270833333333
